source,destination,label
50,12,False
21,19,False
57,14,True
13,32,True
11,5,True
48,12,False
8,31,True
52,13,True
5,9,False
2,26,True
26,20,True
1,28,True
43,23,True
65,15,False
7,3,False
56,14,True
12,32,True
37,22,False
41,23,False
9,8,True
71,17,False
34,21,False
3,24,True
25,19,False
66,16,False
16,18,False
47,12,True
10,5,True
9,11,True
32,21,False
27,20,False
38,22,False
33,21,False
60,14,False
55,13,False
15,32,True
11,2,True
63,15,False
8,6,True
36,22,False
6,1,False
31,21,False
29,20,False
61,15,False
44,23,False
24,19,False
19,18,False
30,20,True
4,7,False
11,25,True
46,12,False
54,13,False
49,12,False
22,19,False
7,4,False
28,20,False
23,19,False
59,14,False
18,18,False
40,22,False
8,11,True
39,22,False
45,23,False
20,18,False
74,17,False
69,16,False
67,16,False
64,15,False
75,17,False
70,16,False
5,10,False
73,17,False
68,16,False
72,17,False
9,29,True
6,4,False
10,27,True
58,14,False
53,13,False
17,18,True
0,30,True
10,0,True
35,21,False
4,10,False
51,13,False
62,15,False
14,32,True
42,23,False
