source,destination,label
18,21,False
26,14,True
22,24,False
23,30,True
14,14,True
23,35,False
6,12,True
13,72,False
2,15,True
23,25,False
10,9,True
12,66,False
14,73,False
18,1,True
18,41,False
13,67,False
12,56,True
23,20,False
0,14,True
15,69,False
14,47,True
14,63,False
15,58,False
21,28,False
0,2,True
12,51,False
4,10,True
13,46,False
17,50,False
24,15,True
17,65,False
8,5,False
15,48,False
19,32,False
16,59,False
20,38,False
6,0,True
22,29,False
23,40,False
12,3,True
2,3,True
17,55,False
20,12,True
21,39,False
22,19,False
12,71,False
22,34,False
8,13,True
2,7,False
19,37,False
21,18,False
14,15,True
0,6,False
15,74,False
30,12,True
10,8,True
14,68,False
13,2,True
19,16,False
13,57,True
18,36,False
19,42,False
13,62,False
17,70,False
28,13,True
15,53,False
16,49,False
6,4,False
16,64,False
16,75,False
18,26,True
21,23,False
18,31,False
22,45,False
23,0,True
20,13,True
17,60,False
20,17,True
21,44,False
14,52,True
19,27,False
16,54,False
20,43,True
4,11,True
20,22,False
20,33,False
8,1,True
12,61,False
