index,is_init,is_goal
0,False,False
1,True,False
2,False,False
3,True,False
4,True,False
5,False,False
6,False,False
7,True,False
8,False,False
9,True,False
10,True,False
11,False,False
12,False,False
13,False,False
14,True,False
15,False,False
16,False,False
17,False,False
18,False,False
19,False,False
20,True,False
21,False,False
22,False,False
23,False,False
24,False,False
25,True,False
26,False,False
27,True,False
28,False,False
29,True,False
30,False,False
31,True,False
32,False,True
33,True,False
